User_ID,Influencer_Name,Week,Clicked,Visited_Landing,Downloaded_Offer,Purchased,Cart_Value_USD,Campaign_Name,Platform,Followers,Tier,Engagement_Rate,Cost,Conversions,ROI,Revenue,Impressions,Clicks,Fake_Follower_%,Brand_Safety_Rating,Safety_Bucket,Content_Match_Score,Posting_Frequency,Story_View_Rate_%,Would_Rehire,Sentiment_Score,AdCred_Score
U0008,Influencer_196,1,1,1,1,1,70.84,Campaign_9,Instagram,543125,Mega,6.56,1439.01,89.00,3.49,5022.14,1031606,13748,17.01,2,Low,0.62,48,23.25,1,-0.24,0.6
U0008,Influencer_196,2,0,0,0,0,0.00,Campaign_9,Instagram,543125,Mega,6.56,1439.01,162.00,3.49,5022.14,1031606,13748,18.68,2,Low,0.62,48,23.25,1,-0.24,0.6
U0008,Influencer_196,3,0,0,0,0,0.00,Campaign_9,Instagram,543125,Mega,6.56,1439.01,162.00,3.49,5022.14,1031606,13748,17.01,2,Low,0.62,48,23.25,1,-0.24,0.6
U0009,Influencer_23,1,0,0,0,0,0.00,Campaign_9,YouTube,586018,Mega,5.44,3974.62,54.00,2.02,8028.73,283778,26031,1.87,3,Medium,0.6,17,40.57,1,0.61,0.59
U0009,Influencer_23,2,1,1,0,0,0.00,Campaign_9,YouTube,586018,Mega,5.44,3974.62,89.00,2.02,8028.73,283778,26031,1.87,3,Medium,0.6,17,40.57,1,0.61,0.59
U0009,Influencer_23,3,1,1,1,1,0.00,Campaign_9,YouTube,586018,Mega,5.44,3974.62,54.00,2.02,8028.73,283778,26031,1.87,3,Medium,0.6,17,40.57,1,0.61,0.59
U0010,Influencer_32,1,0,0,0,0,0.00,Campaign_1,YouTube,562590,Mega,0.70,1634.24,141.00,2.47,4036.57,180165,4756,41.45,1,Low,0.69,8,44.02,1,0.12,0.42
U0010,Influencer_32,2,0,0,0,0,0.00,Campaign_1,YouTube,562590,Mega,4.70,1634.24,141.00,2.47,4036.57,180165,4756,41.45,1,Low,0.69,8,44.02,1,0.12,0.42
U0010,Influencer_32,3,0,0,0,0,0.00,Campaign_1,YouTube,562590,Mega,0.70,1634.24,89.00,2.47,4036.57,180165,4756,41.45,1,Low,0.69,8,44.02,1,0.12,0.42
U0011,Influencer_259,1,0,0,0,0,0.00,Campaign_12,TikTok,1422425,Mega,9.78,3100.79,140.00,2.95,9147.33,2591925,59883,19.22,3,Medium,0.98,46,44.54,1,0.27,0.77
U0011,Influencer_259,2,1,1,1,1,48.51,Campaign_12,TikTok,1422425,Mega,9.78,3100.79,140.00,2.95,9147.33,2591925,59883,34.24,3,Medium,0.98,46,44.54,1,0.27,0.77
U0011,Influencer_259,3,0,0,0,0,0.00,Campaign_12,TikTok,1422425,Mega,9.78,3100.79,140.00,2.95,9147.33,2591925,59883,19.22,3,Medium,0.98,46,44.54,1,0.27,0.77
U0012,Influencer_182,1,1,0,0,0,0.00,Campaign_9,Instagram,180291,Mid-Tier,3.38,2280.54,136.00,2.94,6704.79,21347,879,13.64,2,Low,0.62,43,43.08,1,-0.23,0.5
U0012,Influencer_182,2,0,0,0,0,0.00,Campaign_9,Instagram,180291,Mid-Tier,5.11,2280.54,136.00,2.94,6704.79,21347,879,13.64,2,Low,0.62,43,43.08,1,-0.23,0.5
U0012,Influencer_182,3,1,0,0,0,0.00,Campaign_9,Instagram,180291,Mid-Tier,3.38,2280.54,136.00,2.94,6704.79,21347,879,13.64,2,Low,0.62,43,43.08,1,-0.23,0.5
U0013,Influencer_57,1,0,0,0,0,0.00,Campaign_4,TikTok,1714548,Mega,1.73,1928.55,116.00,0.65,1253.56,1370502,38784,16.43,1,Low,0.78,35,38.86,0,0.61,0.52
U0013,Influencer_57,2,1,1,1,1,72.96,Campaign_4,TikTok,1714548,Mega,1.73,1928.55,116.00,0.65,1253.56,1370502,38784,16.43,1,Low,0.78,35,38.86,0,0.61,0.52
U0013,Influencer_57,3,0,0,0,0,0.00,Campaign_4,TikTok,1714548,Mega,1.73,1928.55,89.00,0.65,1253.56,1370502,38784,16.43,1,Low,0.78,35,38.86,0,0.61,0.52
U0014,Influencer_240,1,0,0,0,0,0.00,Campaign_14,TikTok,1824604,Mega,0.91,4352.47,180.00,1.85,8052.07,683591,24442,19.22,2,Low,0.86,13,18.2,1,-0.08,0.49
U0014,Influencer_240,2,0,0,0,0,0.00,Campaign_14,TikTok,1824604,Mega,0.91,4352.47,180.00,1.85,8052.07,683591,24442,38.53,2,Low,0.86,13,18.2,1,-0.08,0.49
U0014,Influencer_240,3,1,1,0,0,0.00,Campaign_14,TikTok,1824604,Mega,0.91,4352.47,180.00,1.85,8052.07,683591,24442,38.53,2,Low,0.86,13,18.2,1,-0.08,0.49
U0015,Influencer_48,1,1,1,0,0,0.00,Campaign_20,YouTube,19499,Micro,7.03,752.91,195.00,3,2258.73,24468,1197,12.66,2,Low,0.54,59,25.02,1,-0.27,0.64
U0015,Influencer_48,2,0,0,0,0,0.00,Campaign_20,YouTube,19499,Micro,7.03,752.91,195.00,3,2258.73,24468,1197,12.66,2,Low,0.54,59,25.02,1,-0.27,0.64
U0015,Influencer_48,3,0,0,0,0,0.00,Campaign_20,YouTube,19499,Micro,7.03,752.91,195.00,3,2258.73,24468,1197,12.66,2,Low,0.54,59,25.02,1,-0.27,0.64
U0016,Influencer_300,1,1,0,0,0,0.00,Campaign_11,Instagram,416551,Macro,2.64,3588.65,61.00,3.89,13959.85,93413,1005,9.86,3,Medium,0.43,55,36.09,1,0.06,0.43
U0016,Influencer_300,2,0,0,0,0,0.00,Campaign_11,Instagram,416551,Macro,2.64,3588.65,61.00,3.89,13959.85,93413,1005,9.86,3,Medium,0.43,55,36.09,1,0.06,0.43
U0016,Influencer_300,3,1,0,0,0,0.00,Campaign_11,Instagram,416551,Macro,5.11,3588.65,61.00,3.89,13959.85,93413,1005,9.86,3,Medium,0.43,55,36.09,1,0.06,0.43
U0017,Influencer_173,1,0,0,0,0,0.00,Campaign_6,YouTube,1112698,Mega,2.14,3430.71,185.00,0.41,1406.59,1360022,19102,17.93,4,High,0.48,30,50.76,1,0.55,0.61
U0017,Influencer_173,2,1,1,0,0,0.00,Campaign_6,YouTube,1112698,Mega,2.14,3430.71,89.00,0.41,1406.59,1360022,19102,17.93,4,High,0.48,30,50.76,1,0.55,0.61
U0017,Influencer_173,3,1,1,0,0,0.00,Campaign_6,YouTube,1112698,Mega,2.14,3430.71,185.00,0.41,1406.59,1360022,19102,17.93,4,High,0.48,30,50.76,1,0.55,0.61
U0018,Influencer_172,1,0,0,0,0,0.00,Campaign_20,YouTube,955869,Mega,4.70,4828.17,89.00,1.3,6276.62,332873,6875,42.69,4,High,0.74,10,56.39,1,-0.43,0.57
U0018,Influencer_172,2,1,1,1,0,0.00,Campaign_20,YouTube,955869,Mega,7.17,4828.17,112.00,1.3,6276.62,332873,6875,42.69,4,High,0.74,10,56.39,1,-0.43,0.57
U0018,Influencer_172,3,1,1,0,0,0.00,Campaign_20,YouTube,955869,Mega,7.17,4828.17,112.00,1.3,6276.62,332873,6875,20.94,4,High,0.74,10,56.39,1,-0.43,0.57
U0019,Influencer_117,1,1,1,1,0,0.00,Campaign_18,Instagram,1188104,Mega,8.60,3164.03,130.00,2.79,8827.64,713063,54500,21.03,3,Medium,0.93,15,54.02,1,0.13,0.72
U0019,Influencer_117,2,0,0,0,0,0.00,Campaign_18,Instagram,1188104,Mega,5.11,3164.03,130.00,2.79,8827.64,713063,54500,21.03,3,Medium,0.93,15,54.02,1,0.13,0.72
U0019,Influencer_117,3,1,1,1,0,0.00,Campaign_18,Instagram,1188104,Mega,8.60,3164.03,130.00,2.79,8827.64,713063,54500,21.03,3,Medium,0.93,15,54.02,1,0.13,0.72
U0020,Influencer_88,1,1,0,0,0,0.00,Campaign_20,TikTok,1827730,Mega,4.96,2954.74,132.00,1.15,3397.95,1701597,35661,33.43,2,Low,0.49,54,12.35,1,0.54,0.57
U0020,Influencer_88,2,0,0,0,0,0.00,Campaign_20,TikTok,1827730,Mega,5.47,2954.74,132.00,1.15,3397.95,1701597,35661,33.43,2,Low,0.49,54,12.35,1,0.54,0.57
U0020,Influencer_88,3,1,1,1,1,12.66,Campaign_20,TikTok,1827730,Mega,4.96,2954.74,132.00,1.15,3397.95,1701597,35661,33.43,2,Low,0.49,54,12.35,1,0.54,0.57
U0021,Influencer_272,1,0,0,0,0,0.00,Campaign_3,TikTok,282877,Macro,6.06,795.21,122.00,0.54,429.41,173484,11852,3.61,4,High,0.49,40,16.71,0,-0.3,0.59
U0021,Influencer_272,2,0,0,0,0,0.00,Campaign_3,TikTok,282877,Macro,6.06,795.21,122.00,0.54,429.41,173484,11852,3.61,4,High,0.49,40,16.71,0,-0.3,0.59
U0021,Influencer_272,3,0,0,0,0,0.00,Campaign_3,TikTok,282877,Macro,6.06,795.21,89.00,0.54,429.41,173484,11852,3.61,4,High,0.49,40,16.71,0,-0.3,0.59
U0022,Influencer_274,1,1,1,1,1,39.12,Campaign_19,TikTok,396050,Macro,2.73,4782.72,162.00,2.13,10187.19,232539,3048,5.21,4,High,0.82,11,25.28,1,-0.08,0.61
U0022,Influencer_274,2,1,1,1,0,0.00,Campaign_19,TikTok,396050,Macro,2.73,4782.72,89.00,2.13,10187.19,232539,3048,5.21,4,High,0.82,11,25.28,1,-0.08,0.61
U0022,Influencer_274,3,1,1,1,0,0.00,Campaign_19,TikTok,396050,Macro,2.73,4782.72,162.00,2.13,10187.19,232539,3048,5.21,4,High,0.82,11,25.28,1,-0.08,0.61
U0023,Influencer_242,1,1,1,1,1,26.40,Campaign_14,YouTube,958593,Mega,2.33,2550.55,104.00,2.39,6095.81,1616913,140829,19.69,4,High,0.71,9,26.12,1,-0.21,0.49
U0023,Influencer_242,2,0,0,0,0,0.00,Campaign_14,YouTube,958593,Mega,2.33,2550.55,104.00,2.39,6095.81,1616913,140829,19.69,4,High,0.71,9,26.12,1,-0.21,0.49
U0023,Influencer_242,3,0,0,0,0,0.00,Campaign_14,YouTube,958593,Mega,2.33,2550.55,104.00,2.39,6095.81,1616913,140829,19.69,4,High,0.71,9,26.12,1,-0.21,0.49
U0024,Influencer_299,1,0,0,0,0,0.00,Campaign_1,YouTube,79776,Mid-Tier,8.86,2096.1,117.00,2.64,5533.7,92682,3148,0,1,Low,0.45,27,52.78,1,0.92,0.72
U0024,Influencer_299,2,1,1,0,0,0.00,Campaign_1,YouTube,79776,Mid-Tier,8.86,2096.1,117.00,2.64,5533.7,92682,3148,0,1,Low,0.45,27,52.78,1,0.92,0.72
U0024,Influencer_299,3,1,0,0,0,0.00,Campaign_1,YouTube,79776,Mid-Tier,8.86,2096.1,117.00,2.64,5533.7,92682,3148,0,1,Low,0.45,27,52.78,1,0.92,0.72
U0025,Influencer_83,1,1,0,0,0,0.00,Campaign_8,YouTube,565710,Mega,6.95,1551.1,69.00,1.41,2187.05,273825,9379,32.42,3,Medium,0.79,21,37.65,1,0.66,0.64
U0025,Influencer_83,2,0,0,0,0,0.00,Campaign_8,YouTube,565710,Mega,6.95,1551.1,69.00,1.41,2187.05,273825,9379,32.42,3,Medium,0.79,21,37.65,1,0.66,0.64
U0025,Influencer_83,3,0,0,0,0,0.00,Campaign_8,YouTube,565710,Mega,6.95,1551.1,69.00,1.41,2187.05,273825,9379,32.42,3,Medium,0.79,21,37.65,1,0.66,0.64
U0026,Influencer_137,1,1,1,0,0,0.00,Campaign_18,TikTok,707604,Mega,6.63,457.18,89.00,0.47,214.87,655684,37525,15.74,1,Low,0.71,54,69.19,1,0.31,0.59
U0026,Influencer_137,2,0,0,0,0,0.00,Campaign_18,TikTok,707604,Mega,6.63,457.18,90.00,0.47,214.87,655684,37525,15.74,1,Low,0.71,54,69.19,1,0.31,0.59
U0026,Influencer_137,3,1,1,0,0,0.00,Campaign_18,TikTok,707604,Mega,6.63,457.18,90.00,0.47,214.87,655684,37525,15.74,1,Low,0.71,54,69.19,1,0.31,0.59
U0027,Influencer_202,1,1,0,0,0,0.00,Campaign_17,YouTube,1982616,Mega,2.39,2851.1,159.00,3.38,9636.72,2927021,43790,24.19,5,High,0.9,28,23.09,1,-0.24,0.58
U0027,Influencer_202,2,0,0,0,0,0.00,Campaign_17,YouTube,1982616,Mega,2.39,2851.1,89.00,3.38,9636.72,2927021,43790,24.19,5,High,0.9,28,23.09,1,-0.24,0.58
U0027,Influencer_202,3,0,0,0,0,0.00,Campaign_17,YouTube,1982616,Mega,2.39,2851.1,159.00,3.38,9636.72,2927021,43790,24.19,5,High,0.9,28,23.09,1,-0.24,0.58
U0028,Influencer_232,1,1,1,0,0,0.00,Campaign_9,Instagram,985603,Mega,7.95,322.39,40.00,1.04,335.29,1017534,76055,27.66,5,High,0.64,43,32.73,0,-0.27,0.56
U0028,Influencer_232,2,0,0,0,0,0.00,Campaign_9,Instagram,985603,Mega,7.95,322.39,40.00,1.04,335.29,1017534,76055,27.66,5,High,0.64,43,32.73,0,-0.27,0.56
U0028,Influencer_232,3,1,1,0,0,0.00,Campaign_9,Instagram,985603,Mega,7.95,322.39,89.00,1.04,335.29,1017534,76055,27.66,5,High,0.64,43,32.73,0,-0.27,0.56
U0029,Influencer_2,1,0,0,0,0,0.00,Campaign_12,Instagram,1540569,Mega,6.17,1008.69,86.00,2.61,2632.68,1076105,56595,2.79,1,Low,0.96,54,62.68,1,0.31,0.63
U0029,Influencer_2,2,1,1,0,0,0.00,Campaign_12,Instagram,1540569,Mega,6.17,1008.69,86.00,2.61,2632.68,1076105,56595,2.79,1,Low,0.96,54,62.68,1,0.31,0.63
U0029,Influencer_2,3,1,0,0,0,0.00,Campaign_12,Instagram,1540569,Mega,5.11,1008.69,86.00,2.61,2632.68,1076105,56595,2.79,1,Low,0.96,54,62.68,1,0.31,0.63
U0030,Influencer_108,1,1,1,0,0,0.00,Campaign_11,Instagram,800402,Mega,5.11,351.74,200.00,1.7,597.96,825706,45426,26.51,4,High,0.51,43,39.48,1,0.69,0.68
U0030,Influencer_108,2,0,0,0,0,0.00,Campaign_11,Instagram,800402,Mega,5.11,351.74,200.00,1.7,597.96,825706,45426,26.51,4,High,0.51,43,39.48,1,0.69,0.68
U0030,Influencer_108,3,1,0,0,0,0.00,Campaign_11,Instagram,800402,Mega,5.11,351.74,200.00,1.7,597.96,825706,45426,18.68,4,High,0.51,43,39.48,1,0.69,0.68
U0031,Influencer_13,1,1,0,0,0,0.00,Campaign_16,Instagram,1014375,Mega,3.37,1915.68,73.00,1.53,2930.99,953127,77764,38.62,2,Low,0.85,13,37.29,1,-0.33,0.42
U0031,Influencer_13,2,1,0,0,0,0.00,Campaign_16,Instagram,1014375,Mega,3.37,1915.68,73.00,1.53,2930.99,953127,77764,38.62,2,Low,0.85,13,37.29,1,-0.33,0.42
U0031,Influencer_13,3,0,0,0,0,0.00,Campaign_16,Instagram,1014375,Mega,3.37,1915.68,73.00,1.53,2930.99,953127,77764,38.62,2,Low,0.85,13,37.29,1,-0.33,0.42
U0032,Influencer_256,1,0,0,0,0,0.00,Campaign_16,YouTube,1580881,Mega,1.15,1154.18,151.00,0.5,577.09,1351028,20076,27.89,2,Low,0.98,49,39.44,0,0.79,0.59
U0032,Influencer_256,2,0,0,0,0,0.00,Campaign_16,YouTube,1580881,Mega,1.15,1154.18,151.00,0.5,577.09,1351028,20076,20.94,2,Low,0.98,49,39.44,0,0.79,0.59
U0032,Influencer_256,3,1,1,1,1,93.72,Campaign_16,YouTube,1580881,Mega,1.15,1154.18,151.00,0.5,577.09,1351028,20076,27.89,2,Low,0.98,49,39.44,0,0.79,0.59
U0033,Influencer_105,1,1,0,0,0,0.00,Campaign_17,YouTube,1498347,Mega,0.87,270.21,89.00,2.68,724.16,2796147,93147,32.95,1,Low,0.64,5,54.99,1,-0.37,0.25
U0033,Influencer_105,2,0,0,0,0,0.00,Campaign_17,YouTube,1498347,Mega,0.87,270.21,16.00,2.68,724.16,2796147,93147,32.95,1,Low,0.64,5,54.99,1,-0.37,0.25
U0033,Influencer_105,3,0,0,0,0,0.00,Campaign_17,YouTube,1498347,Mega,0.87,270.21,16.00,2.68,724.16,2796147,93147,32.95,1,Low,0.64,5,54.99,1,-0.37,0.25
U0034,Influencer_33,1,0,0,0,0,0.00,Campaign_4,TikTok,1521210,Mega,8.25,2589.14,27.00,2.34,6058.59,1859180,110941,19.58,3,Medium,0.74,47,41.61,1,0.65,0.64
U0034,Influencer_33,2,1,1,1,1,52.34,Campaign_4,TikTok,1521210,Mega,8.25,2589.14,27.00,2.34,6058.59,1859180,110941,19.58,3,Medium,0.74,47,41.61,1,0.65,0.64
U0034,Influencer_33,3,0,0,0,0,0.00,Campaign_4,TikTok,1521210,Mega,8.25,2589.14,27.00,2.34,6058.59,1859180,110941,19.58,3,Medium,0.74,47,41.61,1,0.65,0.64
U0035,Influencer_99,1,0,0,0,0,0.00,Campaign_7,Instagram,1927282,Mega,3.98,3389.12,24.00,3.89,13183.68,2897737,141049,11.85,1,Low,0.52,33,33.7,1,0.42,0.44
U0035,Influencer_99,2,1,1,1,0,0.00,Campaign_7,Instagram,1927282,Mega,5.11,3389.12,24.00,3.89,13183.68,2897737,141049,11.85,1,Low,0.52,33,33.7,1,0.42,0.44
U0035,Influencer_99,3,1,0,0,0,0.00,Campaign_7,Instagram,1927282,Mega,3.98,3389.12,24.00,3.89,13183.68,2897737,141049,11.85,1,Low,0.52,33,33.7,1,0.42,0.44
U0036,Influencer_172,1,0,0,0,0,0.00,Campaign_20,YouTube,955869,Mega,7.17,4828.17,112.00,1.3,6276.62,332873,6875,42.69,4,High,0.74,10,56.39,1,-0.43,0.57
U0036,Influencer_172,2,1,0,0,0,0.00,Campaign_20,YouTube,955869,Mega,7.17,4828.17,112.00,1.3,6276.62,332873,6875,42.69,4,High,0.74,10,56.39,1,-0.43,0.57
U0036,Influencer_172,3,1,0,0,0,0.00,Campaign_20,YouTube,955869,Mega,7.17,4828.17,89.00,1.3,6276.62,332873,6875,20.94,4,High,0.74,10,56.39,1,-0.43,0.57
U0037,Influencer_242,1,0,0,0,0,0.00,Campaign_14,YouTube,958593,Mega,2.33,2550.55,104.00,2.39,6095.81,1616913,140829,19.69,4,High,0.71,9,26.12,1,-0.21,0.49
U0037,Influencer_242,2,0,0,0,0,0.00,Campaign_14,YouTube,958593,Mega,2.33,2550.55,104.00,2.39,6095.81,1616913,140829,19.69,4,High,0.71,9,26.12,1,-0.21,0.49
U0037,Influencer_242,3,1,1,0,0,0.00,Campaign_14,YouTube,958593,Mega,2.33,2550.55,104.00,2.39,6095.81,1616913,140829,19.69,4,High,0.71,9,26.12,1,-0.21,0.49
U0038,Influencer_237,1,1,1,0,0,0.00,Campaign_18,TikTok,243334,Macro,8.18,4209.82,116.00,1.25,5262.28,310777,14540,12.6,3,Medium,0.43,13,46.46,1,1,0.72
U0038,Influencer_237,2,0,0,0,0,0.00,Campaign_18,TikTok,243334,Macro,8.18,4209.82,116.00,1.25,5262.28,310777,14540,12.6,3,Medium,0.43,13,46.46,1,1,0.72
U0038,Influencer_237,3,1,1,1,1,70.28,Campaign_18,TikTok,243334,Macro,8.18,4209.82,116.00,1.25,5262.28,310777,14540,12.6,3,Medium,0.43,13,46.46,1,1,0.72
U0039,Influencer_249,1,0,0,0,0,0.00,Campaign_9,TikTok,1564655,Mega,3.95,564.68,150.00,3.88,2190.96,2783495,243047,27.4,2,Low,0.97,30,27.26,1,0.53,0.64
U0039,Influencer_249,2,0,0,0,0,0.00,Campaign_9,TikTok,1564655,Mega,5.47,564.68,150.00,3.88,2190.96,2783495,243047,27.4,2,Low,0.97,30,27.26,1,0.53,0.64
U0039,Influencer_249,3,1,0,0,0,0.00,Campaign_9,TikTok,1564655,Mega,3.95,564.68,150.00,3.88,2190.96,2783495,243047,27.4,2,Low,0.97,30,27.26,1,0.53,0.64
U0040,Influencer_264,1,0,0,0,0,0.00,Campaign_7,TikTok,734111,Mega,1.29,628.42,67.00,1.87,1175.15,616445,43522,17.73,4,High,0.94,46,47.21,1,0.47,0.53
U0040,Influencer_264,2,0,0,0,0,0.00,Campaign_7,TikTok,734111,Mega,1.29,628.42,67.00,1.87,1175.15,616445,43522,17.73,4,High,0.94,46,47.21,1,0.47,0.53
U0040,Influencer_264,3,1,1,0,0,0.00,Campaign_7,TikTok,734111,Mega,5.47,628.42,67.00,1.87,1175.15,616445,43522,17.73,4,High,0.94,46,47.21,1,0.47,0.53
U0041,Influencer_192,1,0,0,0,0,0.00,Campaign_20,YouTube,1722786,Mega,1.58,3262.5,124.00,2.14,6981.75,3127798,195888,33.76,2,Low,0.66,57,47.3,1,-0.48,0.39
U0041,Influencer_192,2,1,0,0,0,0.00,Campaign_20,YouTube,1722786,Mega,1.58,3262.5,124.00,2.14,6981.75,3127798,195888,33.76,2,Low,0.66,57,47.3,1,-0.48,0.39
U0041,Influencer_192,3,1,0,0,0,0.00,Campaign_20,YouTube,1722786,Mega,1.58,3262.5,124.00,2.14,6981.75,3127798,195888,33.76,2,Low,0.66,57,47.3,1,-0.48,0.39
U0042,Influencer_43,1,1,1,1,1,98.54,Campaign_13,YouTube,351356,Macro,1.77,2140.66,25.00,2.07,4431.17,107402,7682,24.33,4,High,0.86,58,60.64,1,0.46,0.48
U0042,Influencer_43,2,1,1,0,0,0.00,Campaign_13,YouTube,351356,Macro,1.77,2140.66,25.00,2.07,4431.17,107402,7682,24.33,4,High,0.86,58,60.64,1,0.46,0.48
U0042,Influencer_43,3,0,0,0,0,0.00,Campaign_13,YouTube,351356,Macro,1.77,2140.66,25.00,2.07,4431.17,107402,7682,24.33,4,High,0.86,58,60.64,1,0.46,0.48
U0043,Influencer_186,1,1,1,0,0,0.00,Campaign_6,Instagram,1103780,Mega,6.77,4541.86,63.00,2.23,10128.35,1332181,58976,18.68,3,Medium,0.81,23,45.11,1,0.83,0.68
U0043,Influencer_186,2,1,0,0,0,0.00,Campaign_6,Instagram,1103780,Mega,6.77,4541.86,63.00,2.23,10128.35,1332181,58976,11.04,3,Medium,0.81,23,45.11,1,0.83,0.68
U0043,Influencer_186,3,1,0,0,0,0.00,Campaign_6,Instagram,1103780,Mega,6.77,4541.86,63.00,2.23,10128.35,1332181,58976,11.04,3,Medium,0.81,23,45.11,1,0.83,0.68
U0044,Influencer_176,1,1,1,0,0,0.00,Campaign_8,TikTok,152579,Mid-Tier,3.32,2201.3,89.00,3.07,6757.99,284224,14522,21.22,3,Medium,0.69,42,59.5,1,0.84,0.63
U0044,Influencer_176,2,1,1,0,0,0.00,Campaign_8,TikTok,152579,Mid-Tier,3.32,2201.3,145.00,3.07,6757.99,284224,14522,21.22,3,Medium,0.69,42,59.5,1,0.84,0.63
U0044,Influencer_176,3,1,1,0,0,0.00,Campaign_8,TikTok,152579,Mid-Tier,3.32,2201.3,145.00,3.07,6757.99,284224,14522,21.22,3,Medium,0.69,42,59.5,1,0.84,0.63
U0045,Influencer_73,1,0,0,0,0,0.00,Campaign_4,Instagram,265360,Macro,3.61,1473.26,24.00,0.48,707.16,471466,40175,10.14,5,High,0.44,10,62.16,1,-0.18,0.44
